,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,rating
65509,Portugal,"This is a light and fruity LBV. The black fruits are laced with acidity as well as the brandy spirit. It is smooth, round and with just a light sprinkling of tannin. The wine is ready to drink.",Late Bottled Vintage,86,20.0,Port,,,Roger Voss,@vossroger,Delaforce 2010 Late Bottled Vintage  (Port),Port,Delaforce,Low
39902,Italy,"Here's a creamy, opulent, caressing, Cabernet Sauvignon (with 10% Sangiovese) with thick, sweet juicy succulence and almost exaggerated aromas of ripe blackberry and plum. It's round and soft in the mouth. Drink after 2010.",Pietradonice,93,95.0,Tuscany,Sant'Antimo,,,,Casanova di Neri 2004 Pietradonice Cabernet Sauvignon (Sant'Antimo),Cabernet Sauvignon,Casanova di Neri,High
70953,Italy,"Cascina Ballarin's Barolo Bricco Rocca comes from the La Morra area of the Langhe and offers intense aromas of blue flower, violets, almond flowers, cinnamon and powdered licorice. The focus here is on elegance and harmony and the mouthfeel follows through with power and determination. This is a truly beautiful wine",Bricco Rocca,94,,Piedmont,Barolo,,,,Cascina Ballarin 2005 Bricco Rocca  (Barolo),Nebbiolo,Cascina Ballarin,High
73917,Austria,"From vines trained on the lyre system, here is one of the classics of Austrian wine. Its richness and concentration are present from the first taste. As the wine opens, it brings out perfumes and intense fruit flavors. A great wine that needs long-term aging.",Zöbinger Heiligenstein Erste Lage Lyra Reserve,95,74.0,Kamptal,,,Roger Voss,@vossroger,Bründlmayer 2010 Zöbinger Heiligenstein Erste Lage Lyra Reserve Riesling (Kamptal),Riesling,Bründlmayer,High
25936,France,"This is a blend from several Grand Crus on the Corton hill. It is rich and spicy, with great black fruits and solid tannins. A powerful wine, it's shot through with acidity and black-plum fruits throughout the structure. Drink from 2023.",Château Corton Grancey,95,170.0,Burgundy,Corton,,Roger Voss,@vossroger,Louis Latour 2014 Château Corton Grancey  (Corton),Pinot Noir,Louis Latour,High
84593,Israel,"This wine starts off smelling overly ripe, with sweet orange, yellow apple flesh, peach supreme and juicy melon aromas that flood the bouquet. The mouth is full and round, but a nutty accent adds depth to the palate while medium acidity helps to lift the medium-length close.",Gilgal,87,16.0,Galilee,,,Lauren Buzzeo,@laurbuzz,Golan Heights Winery 2009 Gilgal Chardonnay (Galilee),Chardonnay,Golan Heights Winery,Low
21645,Portugal,"Ripe and full-bodied, this is a rich and juicy wine. With tannins kept in the background, the front is full of blackberry acidity and jammy fruitiness that's balanced by the fresher black currant aftertaste.",Marias da Malhadinha,87,55.0,Alentejano,,,Roger Voss,@vossroger,Herdade da Malhadinha Nova 2010 Marias da Malhadinha Red (Alentejano),Portuguese Red,Herdade da Malhadinha Nova,Low
29999,France,"This is soft and smooth, with acidity and a creamy character. The flavors are reminiscent of ripe pear and spice. Very ready to drink.",,85,,Alsace,Alsace,,Roger Voss,@vossroger,Bott Frères 2010 Pinot Blanc (Alsace),Pinot Blanc,Bott Frères,Low
5011,Austria,"The nose is very shy, giving little away apart from slight citrus. Everything happens on the palate, with tender but ripe pear fruit gently edged with zesty citrus. A tingle of white pepper along the lemon peel creates a vividly fresh but light wine. It's clean and totally refreshing, with a long finish.",Terrassen,91,17.0,Traisental,,,Anne Krebiehl MW,@AnneInVino,Markus Huber 2016 Terrassen Grüner Veltliner (Traisental),Grüner Veltliner,Markus Huber,High
14593,US,"A good, polished Pinot for drinking now. It's brisk in acidity and has a hint of green mint, but the raspberry, cherry and cedar flavors are delicious.",,87,50.0,California,Santa Barbara County,Central Coast,,,Twomey 2008 Pinot Noir (Santa Barbara County),Pinot Noir,Twomey,Low
36747,Italy,"This barrique-aged Chardonnay tastes a bit too much of barrique, with toasty, cinnamon and vanilla flavors dominating the underlying melon and peach fruit. It's sexy wood, but it's just too prominent; tone down the makeup and let this beauty's natural good looks shine through.","Were Dreams, Now it is Just Wine",85,55.0,Northeastern Italy,Venezia Giulia,,Joe Czerwinski,@JoeCz,"Jermann 2000 Were Dreams, Now it is Just Wine Chardonnay (Venezia Giulia)",Chardonnay,Jermann,Low
5681,US,"Golden Delicious apple, stone fruit and honey star in this vineyard-designate, a showcase for baked apple seasoned in nutmeg. Gravelly texture supports full-bodied flavor and a strength of toasted oak lightly suggestive in vanilla.",Green Acres Hill Vineyard,93,64.0,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Ram's Gate 2014 Green Acres Hill Vineyard Chardonnay (Carneros),Chardonnay,Ram's Gate,High
77190,Italy,"This vintage of Grattamacco's basic Bolgheri blend (mostly Cabernet Sauvignon, with Cabernet Franc, Merlot and Sangiovese) appears neutral and less intense compared to years past. It does show elegant mineral shadings and cedary wood behind bright berry fruit.",,87,42.0,Tuscany,Bolgheri,,,,Grattamacco 2009  Bolgheri,Red Blend,Grattamacco,Low
16822,Australia,"A pleasant surprise, this budget-priced Viognier shows plenty of plump fruit without getting overly big or blowsy. Citrus and pineapple flavors reflect the moderate alcohol levels, finishing on a juicy, succulent note. Drink now.",Reserve,87,15.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Tall Poppy 2006 Reserve Viognier (South Eastern Australia),Viognier,Tall Poppy,Low
26644,Argentina,"The ultimate patio/terrace wine has been found, and it's Urban from O. Fournier. True as can be, with lychee, acacia and green melon aromas and flavors, this wine is plump but refreshing, with honest Cafayate character. Maybe the best under-$10 white wine being made in Argentina.",Urban,87,8.0,Other,Cafayate,,Michael Schachner,@wineschach,O. Fournier 2007 Urban Torrontés (Cafayate),Torrontés,O. Fournier,Low
7110,US,"An awesome Chardonnay that gives everything you want in richness, yet frames it in a structural integrity rare in California. Dazzles with tropical fruit, green apple and pear flavors, with a brilliant overlay of oak that adds buttered toast and spice flavors, not to mention sturdy oak tannins. But it's the zesty acidity, like a squirt of lime juice, that really elevates this wine.",Ulises Valdez Vineyard,95,70.0,California,Russian River Valley,Sonoma,,,Paul Hobbs 2008 Ulises Valdez Vineyard Chardonnay (Russian River Valley),Chardonnay,Paul Hobbs,High
57032,US,"Blackberry, charred sage, beef crust and cedar notes introduce this blend of 48% Merlot, 37% Cabernet Sauvignon, 13% Petit Verdot and 2% Cabernet Franc. It's lively on the palate, with a lingering finish of dried cherries.",,92,40.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Robert Hall 2012 Meritage (Paso Robles),Meritage,Robert Hall,High
57608,France,"This is a soft, gentle wine, made for immediate consumption. It features bright cherry and pear-drop aromas and pleasant, if somewhat simple, fruit flavors. Two-thirds Grenache, with the rest being a blend of Syrah, Carignan, Cinsault and Mourvèdre.",Passe Colline,85,,Rhône Valley,Ventoux,,Joe Czerwinski,@JoeCz,Vignobles La Coterie 2010 Passe Colline Red (Ventoux),Rhône-style Red Blend,Vignobles La Coterie,Low
52073,US,"High-toned acidity provides a backbone of structure amid the otherwise luscious profile of this wine that's delightfully light and bright in pomegranate, black cherry and spicy citrus. Deliciously juicy and textured on the palate, it finishes with a touch of tobacco and black tea.",Fox Den Vineyard,93,58.0,California,Green Valley,Sonoma,Virginie Boone,@vboone,Dutton-Goldfield 2013 Fox Den Vineyard Pinot Noir (Green Valley),Pinot Noir,Dutton-Goldfield,High
42476,Italy,"This is dominated by oak, toasted coffee beans and a hint of meat juices. The palate is short and finishes on a green note, with bitter wood tannins.",Vigna Gancia,84,60.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Mauro Molino 2009 Vigna Gancia  (Barolo),Nebbiolo,Mauro Molino,Low
10430,US,"The six years this wine has had to stretch its legs have been well spent. It shows appealing aromas of chocolate along with dried and fresh dark fruit that lead to rich, ripe flavors. It's in full bloom and ready to drink.",Cuvée Orleans,92,40.0,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,McCrea 2009 Cuvée Orleans Syrah (Yakima Valley),Syrah,McCrea,High
36025,France,"There is an attractive touch of smokiness to this otherwise fruity wine. It is fresh with acidity and stalky tannins that march alongside the black currant fruits. This is a blend of 50% Merlot, 30% Cabernet Franc and 20% Tannat aged in oak and wooden vats. It is ready to drink.",Terroir Gascon,84,14.0,Southwest France,Côtes de Gascogne,,Roger Voss,@vossroger,Domaine Chiroulet 2013 Terroir Gascon Red (Côtes de Gascogne),Red Blend,Domaine Chiroulet,Low
12036,France,"Not quite up to the quality of the 2004, but this is still an authoritatively flavored Provençal blend. Black cherry and spice flavors show some gripping tannins on the finish; hold another year, then drink through 2012. Imported by Routas USA.",Infernet,86,13.0,Provence,Coteaux Varois,,Joe Czerwinski,@JoeCz,Château Routas 2005 Infernet Red (Coteaux Varois),Rhône-style Red Blend,Château Routas,Low
16224,US,"A mix of Sauvignon Blanc and Semillon. The two are blended and fermented together in barrels, from a vineyard east of Medford. The wine has pleasant herbal, grassy notes, and some very tart fruit.",La Cave Blanche,86,10.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Siskiyou Vineyards 1999 La Cave Blanche White (Oregon),White Blend,Siskiyou Vineyards,Low
73131,France,"An intense and fresh wine that is packed with acidity as well as powerful red fruits. It is breathtakingly fruity at this stage, the structure still developing and giving a delicious perfumed berry character. Drink from 2015.",Château de Bligny Premier Cru,91,65.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Evening Land 2011 Château de Bligny Premier Cru  (Gevrey-Chambertin),Pinot Noir,Evening Land,High
10279,Argentina,"Resiny oak is front and center on the nose, turning any and all fruit spicy. The palate is wet and basic, with a woody feel and oaky flavors that include spices and white fruits. Offers proper weight but smells and tastes overtly resiny.",Q,84,22.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Zuccardi 2010 Q Chardonnay (Mendoza),Chardonnay,Zuccardi,Low
44022,Italy,"Bright and citrus-driven, this no-fuss wine would pair with grilled shrimp or freshwater fish. The wine is zesty and fresh overall.",,86,16.0,Southern Italy,Lacryma Christi del Vesuvio,,,,Feudi di San Gregorio 2011 White (Lacryma Christi del Vesuvio),White Blend,Feudi di San Gregorio,Low
22893,US,"Made from Cabernet Sauvignon and Merlot, this is a sweet, rustic wine. It's overripe and Porty, with caramel, blackberry jam and chocolate flavors.",Spellonu Red,82,15.0,California,Napa Valley,Napa,,,Spell Wine 2006 Spellonu Red Red (Napa Valley),Bordeaux-style Red Blend,Spell Wine,Low
61341,US,"Concentrated black plum and violet notes mesh with potting soil, cola and a candied black-raspberry character on the nose of this bottling. The palate combines boysenberry with woody elderberry fruit as well as a warmer red cherry and red-plum core, edged by pine needles, juniper and tart pomegranate complexity.",,91,22.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Cambiata 2014 Pinot Noir (Santa Lucia Highlands),Pinot Noir,Cambiata,High
84508,Spain,"More than in the past, this vintage of Christina is showing a ton of oak up front along with vanilla, plastic and hickory aromas. Round, staunch and tannic on the palate, this single-vineyard Tinto Fino tastes toasted, blackened and minty, with blackberry, peppercorn and licorice flavors; hold until 2017.",Christina,91,90.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Astrales 2012 Christina  (Ribera del Duero),Tempranillo,Astrales,High
14836,US,"Light apple and Anjou pear aromas, tangy fruit flavors shaded by butter and almond, and a supple texture add up to a sleek and flavorful wine. This is balanced, medium bodied and reflects the house style of Navarro that ensures a svelte mouthfeel with no rough edges.",Premiere Reserve,91,25.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Navarro 2013 Premiere Reserve Chardonnay (Anderson Valley),Chardonnay,Navarro,High
70364,Italy,"Structured but elegant, this weaves together sensations of tilled earth, forest floor, black cherry, raspberry, orange peel and nutmeg alongside supple tannins. It's vibrant and drinkable. Even though it will age moderately well, enjoy over the next few years to capture the fresh berry fruit.",,92,29.0,Tuscany,Rosso di Montalcino,,Kerin O’Keefe,@kerinokeefe,Le Potazzine 2012  Rosso di Montalcino,Sangiovese,Le Potazzine,High
52282,Italy,"The aromas are clean, intense and penetrating and exhibit ripe black fruit with measured background shadings of spice, vanilla, toast and distant herbal tones. The blend of Syrah and Petit Verdot (with 25% other varieties) showcases the full beauty of its vintage in a feminine and understated way. But at the same time, this wine is determined and powerful.",Castello del Terriccio,95,140.0,Tuscany,Toscana,,,,Castello del Terriccio 2004 Castello del Terriccio Red (Toscana),Red Blend,Castello del Terriccio,High
14563,US,"There's an intense purity to this Sauvignon Blanc that makes it particularly refined and elegant. In fact, this is Stag's Leap's best in many years. It has a translucency that lets you taste the minerally soil from which it comes, alongside immaculate citrus fruit, gooseberry and dried herb flavors.",,92,26.0,California,Napa Valley,Napa,,,Stag's Leap Wine Cellars 2010 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Stag's Leap Wine Cellars,High
72799,Italy,"A blend of Chardonnay, Riesling and Garganega, this presents a distinctive and interesting aromatic profile. Notes of flower and herb combine with touches of citrus, stone fruit and dried hay.",Toari Brut,87,20.0,Veneto,Veneto,,,,Domenico Cavazza NV Toari Brut Sparkling (Veneto),Sparkling Blend,Domenico Cavazza,Low
14908,France,"This is a tropical-fruited wine, with mango and sweet peach notes showing the wine's richness. As a complement, there is the taut green-fruit acidity that's bright and fresh. The two together lend a rich, yet structured wine.",Clos Paradis,91,22.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Domaine Fouassier 2010 Clos Paradis  (Sancerre),Sauvignon Blanc,Domaine Fouassier,High
37548,Portugal,"A barrel-aged Alvarinho, but one that is so delicately toasty that the fruit is what this ripe generous wine is all about. It is rich with citrus and pear flavors, zesty and tangy while also having room for a round ripe aftertaste. This is an impressive wine, ready to drink now.",Reserva,91,25.0,Vinho Verde,,,Roger Voss,@vossroger,J. Portugal Ramos 2015 Reserva Alvarinho (Vinho Verde),Alvarinho,J. Portugal Ramos,High
53732,Austria,"Ripe notes of yellow plum dance on the palate against a firm, citric background of immense freshness. This stands with poise and a seriously straight back. The midpalate is as savoury as soy sauce. Totally enlivening and refreshing with a lovely, concentrated core and backbone.",Haidviertel,91,21.0,Weinviertel,,,Anne Krebiehl MW,@AnneInVino,R&A; Pfaffl 2015 Haidviertel Grüner Veltliner (Weinviertel),Grüner Veltliner,R&A; Pfaffl,High
814,Italy,"This offers aromas suggesting cherries marinated in spirits, underbrush and a whiff of camphor while the firm but rather lean palate offers grilled herb, licorice and a note of sour cherry. Astringent tannins grip the finish.",Rocche di Castelletto,87,75.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Cascina Chicco 2012 Rocche di Castelletto  (Barolo),Nebbiolo,Cascina Chicco,Low
33969,Chile,"A reedy and odd-smelling wine. No matter how many times you come back to it, there's the scent of latex and a strange perfume to the nose. In the mouth, it's tannic and blocky, with saturated black cherry and a funky, unfamiliar twist. And it finishes with rubber, plastic, cotton candy and coconut notes. Can't say this does much to push Carmenère's status.",,83,12.0,Central Valley,,,Michael Schachner,@wineschach,oops 2007 Carmenère (Central Valley),Carmenère,oops,Low
42810,Italy,"This is a gorgeous, creamy wine. A blend of Pinot Grigio, Chardonnay and Sauvignon, Lis offers everything you look for in a quality Italian white. It's crisp and fruit-driven and delivers good staying power and freshness.",Lis,91,,Northeastern Italy,Venezia Giulia,,,,Lis Neris 2006 Lis White (Venezia Giulia),White Blend,Lis Neris,High
24884,US,"These quirky labels mark a stylish shift in Temecula, where traditional branding has long reigned, yet the wine is as solid as ever. This blend of 64% Petite Sirah, 13% Merlot, 12% Cabernet Franc, 7% Shiraz and 4% Cabernet Sauvignon shows dried black currant, turned loam, dark chocolate dust and dried mint aromas. The flavors are reminiscent of classic Old World bottlings, with cedar, dried herb and stewed plum laced with fresh acidity and a dry texture.",Pandemonium,91,35.0,California,Temecula Valley,South Coast,Matt Kettmann,@mattkettmann,Fazeli Cellars 2012 Pandemonium Red (Temecula Valley),Red Blend,Fazeli Cellars,High
15100,US,"This is a good but pretty ordinary Chardonnay despite its famous Rochioli brand name. It's creamy and forward in apricot and orange jam, pineapple custard and sweet oak flavors, with good acidity.",Estate Grown,87,50.0,California,Russian River Valley,Sonoma,,,Rochioli 2012 Estate Grown Chardonnay (Russian River Valley),Chardonnay,Rochioli,Low
18440,Italy,"This frizzante expression of Pinot Nero (made as a white wine) opens with a transparent color and thick white foam. It delivers aromas of white flower, citrus and peach and shows balanced acidity against those soft bubbles.",Magót,85,,Lombardy,Oltrepò Pavese,,,,Castello di Luzzano 2011 Magót Pinot Nero (Oltrepò Pavese),Pinot Nero,Castello di Luzzano,Low
9209,Austria,"Plush, almost candy-like berry notes mingle with fresher inflections of moss on the aromatic nose. The soft and supple palate unleashes even more berry and cherry fruit, so much so that it takes a moment to realise that there is an actual, firm structure to support this purple-tinged display which finishes in medium-bodied spiciness.",Konkret,91,39.0,Neusiedlersee,,,Anne Krebiehl MW,@AnneInVino,Meinklang 2012 Konkret St. Laurent (Neusiedlersee),St. Laurent,Meinklang,High
6005,US,"A heavily spiced nose of cracked peppercorn and tobacco notes mesh with blackberry extract and blueberries on this top bottling from the winery. Its flavors are even darker than blue fruit, with creosote and smoked cigar elements that mellow and evolve as the bottle sits open.",Harmonie,92,75.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Blackjack 2010 Harmonie Cabernet Sauvignon (Santa Barbara County),Cabernet Sauvignon,Blackjack,High
58470,Italy,"Fruity and floral aromas of wild red berry and freshly picked violet lead the nose on this bright, easy-drinking red. The zesty, no-frills palate offers crushed strawberry, orange peel and a cinnamon note alongside firm acidity and pliant tannins.",,87,16.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Luiano 2014  Chianti Classico,Red Blend,Luiano,Low
13304,US,"Bright and showy aromas of olallieberry, packed lilacs and smoked meats make for a very inviting, hearty nose on this bottling. The oak smoke powers the palate, adding savoriness to the plum, cherry and baked-strawberry fruit. A nicely sour herb tension, full of oregano and sage, rounds out the sip.",,91,38.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Pomar Junction 2013 Zinfandel (Paso Robles),Zinfandel,Pomar Junction,High
2476,France,"There's a subtlety to the bouquet of this wine, showing dainty scents of yellow apple, just-dried hay and orange peel. The palate offers more intensity and verve, with notes of citrus pith, melon rind and saline that linger softly on the refreshing finish. Enjoy now.",,86,12.0,Languedoc-Roussillon,Picpoul de Pinet,,Lauren Buzzeo,@laurbuzz,Domaine Delsol 2015  Picpoul de Pinet,Picpoul,Domaine Delsol,Low
33224,Italy,"Soft, supple and inviting, this is a beautifully executed Chianti Classico that puts as much emphasis on the quality of aromas as it does on the feel the wine imparts in the mouth. It's polished and plush with lingering notes of red fruit, spice and blue flowers.",,91,30.0,Tuscany,Chianti Classico,,,,Fontodi 2007  Chianti Classico,Sangiovese,Fontodi,High
65068,US,"A grippy, ink-staining, concentrated Charbono from the Santa Clara Valley, made from 90% estate-grown Charbono (the vineyard is in San Martin) and 10% Syrah. Two years spent in French oak might explain its minty, cedar highlights, rounded out by black cherry and plum.",,85,34.0,California,Santa Clara Valley,Central Coast,Virginie Boone,@vboone,Fortino 2007 Charbono (Santa Clara Valley),Charbono,Fortino,Low
82426,US,"High and tight aromas of chopped grass and cut tennis ball are met with a pretty floral element that veers toward fresh purple flowers. The family-owned estate, which boasts some of the more dramatic vineyard blocks in the region, offers lemongrass, squeezed lime, citrus zest and Granny Smith apple skins on the palate.",Estate Grown Estate Bottled,91,28.0,California,Happy Canyon of Santa Barbara,Central Coast,Matt Kettmann,@mattkettmann,Grassini 2014 Estate Grown Estate Bottled Sauvignon Blanc (Happy Canyon of Santa Barbara),Sauvignon Blanc,Grassini,High
2697,US,"Winemaker Bruno Corneaux keeps a tight grip on alcohol levels, without sacrificing ripeness, flavor or balance. This aromatically compelling wine jumps up with scents of sea breeze, toasted nuts and buttered popcorn. Flavors follow, with apples, vanilla and toast coming to a full-bodied lingering finish. There's ample length and tension to age gracefully for another decade.",,92,50.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Domaine Divio 2015 Chardonnay (Willamette Valley),Chardonnay,Domaine Divio,High
25420,US,"This blend of 47% Grenache, 39% Syrah and 23% Mourvèdre packs dense fruit on the nose, showing plump blackberry and black plum, with touches of pepper, tar and charred beef. The palate is dry and leads with savory peppercorn and asphalt notes, then rounds out with blueberry and dried herb flavors, all balanced by spry acidity.",Mega Focus,91,40.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Sculpterra 2014 Mega Focus Red (Central Coast),Rhône-style Red Blend,Sculpterra,High
61366,US,"The Sorella is deep and dense with thick textures and tannins. The typical black currant and black cherry fruit character is here in spades, and yet at 14.4% alcohol the wine avoids any fatiguing jamminess or heat in the finish. It leaves a slightly chalky, chocolatey impression as it exits the throat, and promises a long life ahead.",Sorella Red Wine,94,65.0,Washington,Horse Heaven Hills,Columbia Valley,Paul Gregutt,@paulgwine ,Andrew Will 2005 Sorella Red Wine Red (Horse Heaven Hills),Red Blend,Andrew Will,High
29534,France,"From a vineyard just at the edge of the Bandol appellation, this fresh and fruity wine has a lively, light touch that contrasts with its richer texture. The aftertaste, packed with acidity and orange freshness, is delicious.",Bélouvé,87,,Provence,Bandol,,Roger Voss,@vossroger,Domaines Bunan 2014 Bélouvé Rosé (Bandol),Rosé,Domaines Bunan,Low
30801,Argentina,"A highly perfumed nose offers potent aromas of bath soap and lychee. The palate is chunky but kept on par by lively acidity. Lychee, melon and lemon flavors finish sweet yet briny. Drink now.",,85,13.0,Other,Salta,,Michael Schachner,@wineschach,Alamos 2013 Torrontés (Salta),Torrontés,Alamos,Low
56950,US,"Restrained mulberry aromas interweave with scents of turned soil, white pepper and clove on the earthy nose of this bottling. The sip starts with a pleasing softness but quickly grows deeper and more weighty with luxurious tannins, showing hearty red cherry and dried fennel flavors.",Lindsay's,92,50.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Lincourt 2014 Lindsay's Pinot Noir (Sta. Rita Hills),Pinot Noir,Lincourt,High
22192,France,"With its strongly mineral-textured base, this is a complex, impressive wine. It has fruit weight with lychees, mangos and spiced pears along with acidity that gives the wine just the lift it needs. Power and style go hand-in-hand in this wine. Drink from 2019.",Clos Saint Urbain Rangen de Thann Grand Cru,96,120.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Zind-Humbrecht 2012 Clos Saint Urbain Rangen de Thann Grand Cru Gewurztraminer (Alsace),Gewürztraminer,Domaine Zind-Humbrecht,High
75080,US,"Hints of char, smoke and green bramble accent tart black-fruit and vanilla-spice flavors in this Shiraz (with a splash of Petit Verdot and Cabernet Sauvignon). The dense tannins are tacky on the palate, but zesty acidity and fresh flower and herb notes on the finish add elegance.",,85,22.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Suhru 2009 Shiraz (North Fork of Long Island),Shiraz,Suhru,Low
65026,US,"A 100% Cabernet Sauvignon from a prominent site, this wine boasts bright, juicy red cassis and pomegranate fruit supported by complex layers of dried herb, coconut and pencil shavings. Ready to enjoy now and through 2021, it finishes with a taste of bittersweet chocolate.",Beckstoffer To Kalon Vineyard,94,185.0,California,Napa Valley,Napa,Virginie Boone,@vboone,B Cellars 2011 Beckstoffer To Kalon Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,B Cellars,High
42009,Australia,"Light floral and honeysuckle aromas are very pretty and compelling, as is the wine's citrus-laden palate. What an introduction to the variety—it's a good value, it's correct, and it's dry. Worth keeping a few bottles around the house.",,87,10.0,Australia Other,South Eastern Australia,,,,Rosemount 2003 Riesling (South Eastern Australia),Riesling,Rosemount,Low
77236,Italy,"A study in balance, this wine has dark berry and tobacco aromas that are elegant rather than overly intense. The palate reveals polished tannins and firm fruit flavors.",,91,60.0,Tuscany,Brunello di Montalcino,,,,Carpineto 2007  Brunello di Montalcino,Sangiovese Grosso,Carpineto,High
